question,answer
What is a measurement channel?,Measurement channel performs measurement and discards. Classical output from quantum input. Measurement is quantum to classical.
What is quantum instrument?,Instrument describes measurement with quantum output. Both classical and quantum outputs. Instruments generalize channels.
What is quantum operation?,Operation is general state transformation. May be probabilistic or selective. Operations include measurements.
What is selective operation?,Selective operations condition on outcomes. Post-selection chooses subensemble. Selective operations are non-deterministic.
What is the Lindblad equation?,Lindblad describes continuous time open evolution. Master equation for density matrix. Lindblad is Markovian dynamics.
What is Markovian dynamics?,Markovian dynamics has no memory effects. Future depends only on present. Lindblad generates Markovian evolution.
What is non-Markovian dynamics in this context?,Non-Markovian has memory effects. Information flows back from environment. Non-Markovian is more complex.
What are dynamical maps?,Dynamical maps describe time evolution. Family of channels for each time. Maps may be non-Markovian.
What is divisibility of channels?,Divisibility means channel factors into earlier channels. CP-divisibility implies Markovian. Non-divisibility indicates memory.
What is process tensor?,Process tensor describes multi-time correlations. It captures non-Markovian effects. Tensor generalizes channels.
What is the quantum Zeno effect in this context?,Frequent measurement inhibits evolution. System remains in initial state. Zeno effect freezes dynamics.
What is the anti-Zeno effect in this context?,Anti-Zeno accelerates decay with measurement. Opposite of Zeno for some systems. Measurement rate determines effect.
What is decoherence-free subspace in this context?,DFS is immune to certain noise. Symmetry protects information. DFS enables passive error protection.
What is noiseless subsystem?,Noiseless subsystems generalize DFS. Subsystem structure provides protection. More general than subspace.
What is environment-assisted channel?,Environment assistance uses correlations with environment. Side information helps communication. Assistance improves capacity.
What is the complementary channel?,Complementary channel describes environment's view. Duality between receiver and environment. Complementary helps analysis.
What is quantum resource theory?,Resource theories study what operations preserve or consume resources. Free operations define the theory. Resources enable otherwise impossible tasks.
What is a free state in resource theory?,Free states are available without cost. They contain no resource. Free states are created by free operations.
What is a free operation?,Free operations do not create resources. They define allowed transformations. Different resources have different free operations.
What is resource monotone?,Monotones quantify resources and do not increase under free operations. They order resource states. Monotones are central to resource theories.
What is resource convertibility?,Convertibility asks if one state transforms to another. Free operations determine convertibility. Resource ordering emerges.
What is the resource theory of coherence?,Coherence theory studies superposition as resource. Incoherent operations are free. Coherence enables quantum advantage.
What are incoherent operations?,Incoherent operations preserve diagonal states. They cannot create superposition. Incoherent defines coherence resource.
What is the coherence measure?,Coherence measures quantify superposition. Relative entropy and l1-norm are examples. Measures satisfy monotonicity.
What is the relative entropy of coherence?,Relative entropy of coherence is distance to diagonal states. It has operational meaning. Relative entropy is important measure.
What is the l1-norm of coherence?,l1-norm sums absolute values of off-diagonal elements. It is easily computed. l1-norm measures coherence.
What is coherence distillation?,Distillation extracts pure coherence from mixed states. Maximally coherent states are target. Distillation parallels entanglement.
